time,holding_values,cash,total,orders
2022/05/18-09:45,0,,,0
2022/05/18-09:50,0,20000.0,20000.0,0
2022/05/18-09:55,0,20000.0,20000.0,0
2022/05/18-10:00,0,20000.0,20000.0,0
2022/05/18-10:05,18064,1936.0,20000.0,1
2022/05/18-10:10,18040,1936.0,19976.0,0
2022/05/18-10:15,18048,1936.0,19984.0,0
2022/05/18-10:35,0,19952.0,19952.0,-1
2022/05/18-10:40,18068,1884.0,19952.0,1
2022/05/18-10:45,18108,1884.0,19992.0,0
2022/05/18-10:50,18116,1884.0,20000.0,0
2022/05/18-10:55,18096,1884.0,19980.0,0
2022/05/18-11:00,18088,1884.0,19972.0,0
2022/05/18-11:05,18096,1884.0,19980.0,0
2022/05/18-11:10,0,19952.0,19952.0,-1
2022/05/18-11:15,-18068,38020.0,19952.0,-1
2022/05/18-11:20,-36072,56056.0,19984.0,-1
2022/05/18-11:25,-54096,74088.0,19992.0,-1
2022/05/18-11:30,-72016,92092.0,20076.0,-1
2022/05/18-13:35,-54192,74028.0,19836.0,1
2022/05/18-13:40,-72064,92044.0,19980.0,-1
2022/05/18-13:45,-90020,110048.0,20028.0,-1
2022/05/18-13:50,-108024,128052.0,20028.0,-1
2022/05/18-13:55,-108168,128052.0,19884.0,0
2022/05/18-14:00,-90240,110004.0,19764.0,1
2022/05/18-14:05,-90260,110004.0,19744.0,0
2022/05/18-14:10,-90240,110004.0,19764.0,0
2022/05/18-14:15,-90160,110004.0,19844.0,0
2022/05/18-14:20,-108072,128016.0,19944.0,-1
2022/05/18-14:25,-125888,146000.0,20112.0,-1
2022/05/18-14:30,-143712,163964.0,20252.0,-1
2022/05/18-14:35,-161496,181908.0,20412.0,-1
2022/05/18-14:40,-179400,199848.0,20448.0,-1
2022/05/18-14:45,-196900,217748.0,20848.0,-1
2022/05/18-14:50,-214800,235648.0,20848.0,-1
2022/05/18-14:55,-232492,253532.0,21040.0,-1
2022/05/18-15:00,-249872,271380.0,21508.0,-1
2022/05/19-21:05,-266880,289172.0,22292.0,-1
2022/05/19-21:10,-284032,306924.0,22892.0,-1
2022/05/19-21:15,-301648,324668.0,23020.0,-1
2022/05/19-21:20,-318744,342376.0,23632.0,-1
2022/05/19-21:25,-336376,360080.0,23704.0,-1
2022/05/19-21:30,-354160,377788.0,23628.0,-1
2022/05/19-21:35,-372540,395528.0,22988.0,-1
2022/05/19-21:40,-389752,413244.0,23492.0,-1
2022/05/19-21:45,-407284,430952.0,23668.0,-1
2022/05/19-21:50,-425856,448696.0,22840.0,-1
2022/05/19-21:55,-443400,466432.0,23032.0,-1
2022/05/19-22:00,-460304,484136.0,23832.0,-1
2022/05/19-22:05,-478872,501872.0,23000.0,-1
2022/05/19-22:10,-496048,519588.0,23540.0,-1
2022/05/19-22:15,-514112,537316.0,23204.0,-1
2022/05/19-22:20,-531600,555036.0,23436.0,-1
2022/05/19-22:25,-549444,572760.0,23316.0,-1
2022/05/19-22:30,-567296,590488.0,23192.0,-1
2022/05/19-22:35,-583836,608180.0,24344.0,-1
2022/05/19-22:40,-601800,625880.0,24080.0,-1
2022/05/19-22:45,-619360,643576.0,24216.0,-1
2022/05/19-22:50,-636768,661264.0,24496.0,-1
2022/05/19-22:55,-655048,678968.0,23920.0,-1
2022/05/19-23:00,-671840,696648.0,24808.0,-1
2022/05/19-09:05,-687180,714268.0,27088.0,-1
2022/05/19-09:10,-705280,731900.0,26620.0,-1
2022/05/19-09:15,-722584,749524.0,26940.0,-1
2022/05/19-09:20,-741888,767188.0,25300.0,-1
2022/05/19-09:25,-758348,784824.0,26476.0,-1
2022/05/19-09:30,-774928,802436.0,27508.0,-1
2022/05/19-09:35,-759380,784776.0,25396.0,1
2022/05/19-09:40,-758520,784776.0,26256.0,0
2022/05/19-09:45,-759208,784776.0,25568.0,0
2022/05/19-09:50,-763336,784776.0,21440.0,0
2022/05/19-09:55,-763508,784776.0,21268.0,0
2022/05/19-10:00,-763680,784776.0,21096.0,0
2022/05/19-10:05,-764712,784776.0,20064.0,0
2022/05/19-10:10,-765228,784776.0,19548.0,0
2022/05/19-10:15,-766432,784776.0,18344.0,0
2022/05/19-10:35,-765916,784776.0,18860.0,0
2022/05/19-10:40,-767464,784776.0,17312.0,0
2022/05/19-10:45,-766260,784776.0,18516.0,0
2022/05/19-10:50,-766604,784776.0,18172.0,0
2022/05/19-10:55,-783024,802572.0,19548.0,-1
2022/05/19-11:00,-765744,784764.0,19020.0,1
2022/05/19-11:05,-767120,784764.0,17644.0,0
2022/05/19-11:10,-765744,784764.0,19020.0,0
2022/05/19-11:15,-766432,784764.0,18332.0,0
2022/05/19-11:20,-767292,784764.0,17472.0,0
2022/05/19-11:25,-769700,784764.0,15064.0,0
2022/05/19-11:30,-784960,802604.0,17644.0,-1
2022/05/19-13:35,-801360,820412.0,19052.0,-1
2022/05/19-13:40,-817880,838192.0,20312.0,-1
2022/05/19-13:45,-836224,855984.0,19760.0,-1
2022/05/19-13:50,-853824,873772.0,19948.0,-1
2022/05/19-13:55,-872200,891572.0,19372.0,-1
2022/05/19-14:00,-855744,873744.0,18000.0,1
2022/05/19-14:05,-855744,873744.0,18000.0,0
2022/05/19-14:10,-856896,873744.0,16848.0,0
2022/05/19-14:15,-860352,873744.0,13392.0,0
2022/05/19-14:20,-879256,891688.0,12432.0,-1
2022/05/19-14:25,-881216,891688.0,10472.0,0
2022/05/19-14:30,-881608,891688.0,10080.0,0
2022/05/19-14:35,-881216,891688.0,10472.0,0
2022/05/19-14:40,-881804,891688.0,9884.0,0
2022/05/19-14:45,-880236,891688.0,11452.0,0
2022/05/19-14:50,-880236,891688.0,11452.0,0
2022/05/19-14:55,-881020,891688.0,10668.0,0
2022/05/19-15:00,-880628,891688.0,11060.0,0
2022/05/20-21:05,-897000,909628.0,12628.0,-1
2022/05/20-21:10,-914328,927556.0,13228.0,-1
2022/05/20-21:15,-932880,945496.0,12616.0,-1
2022/05/20-21:20,-915960,927536.0,11576.0,1
2022/05/20-21:25,-917796,927536.0,9740.0,0
2022/05/20-21:30,-917388,927536.0,10148.0,0
2022/05/20-21:35,-918816,927536.0,8720.0,0
